event_title,category,department,target_year,capacity,location,date,time,event_tags,success_rate,actual_success_rate,actual_attendees,actual_engagement,actual_sentiment
AI Workshop,Technology,Computer,3,100,Seminar Room,2024-09-15,10:00,"ai, ml",85.0,,,,
Freshers' Night,Cultural,Management,1,300,Auditorium,2024-08-20,18:30,"freshers, welcome",92.0,,,,
Research Paper Writing,Academic,Science,4,80,Seminar Room,2024-10-01,11:00,"research, writing",78.0,,,,
Inter-Department Football,Sports,Civil,2,150,Open Ground,2024-11-10,14:00,"football, sports",88.0,,,,
Resume Building Workshop,Professional,Management,3,75,Seminar Room,2024-07-25,09:30,"resume, career",80.0,,,,
Robotics Competition,Technology,Mechanical,4,120,Main Hall,2024-09-22,13:00,"robotics, engineering",90.0,,,,
Annual Debate Competition,Academic,Science,2,90,Auditorium,2024-10-15,10:30,"debate, public speaking",75.0,,,,
Cricket Tournament,Sports,Electrical,3,200,Open Ground,2024-12-05,09:00,"cricket, sports",95.0,,,,
Industry Expert Talk,Professional,Computer,4,180,Main Hall,2024-08-10,15:00,"industry, networking",82.0,,,,
Photography Exhibition,Cultural,Management,1,250,Auditorium,2024-11-20,16:00,"photography, art",70.0,,,,
Data Science Bootcamp,Technology,Computer,3,150,Seminar Room,2024-09-05,09:00,"data science, analytics",88.0,,,,
Literary Fest,Cultural,Science,2,100,Main Hall,2024-10-25,10:00,"literature, books",72.0,,,,
Project Presentation Day,Academic,Mechanical,4,200,Auditorium,2024-12-10,10:00,"projects, innovation",85.0,,,,
Badminton Championship,Sports,Civil,1,100,Open Ground,2024-09-30,13:00,"badminton, sports",89.0,,,,
Interview Skills Workshop,Professional,Electrical,3,60,Seminar Room,2024-08-01,10:00,"interview, job",77.0,,,,
Blockchain Seminar,Technology,Computer,2,110,Seminar Room,2024-10-08,14:00,"blockchain, crypto",80.0,,,,
Cultural Extravaganza,Cultural,Management,all,400,Auditorium,2024-11-15,18:00,"culture, music",99.0,,,,
Guest Lecture Series,Academic,Science,3,130,Main Hall,2024-09-18,11:30,"lecture, knowledge",79.0,,,,
Volleyball Tournament,Sports,Electrical,2,120,Open Ground,2024-07-20,15:00,"volleyball, sports",87.0,,,,
Entrepreneurship Summit,Professional,Management,4,200,Auditorium,2024-10-20,09:00,"entrepreneurship, startup",90.0,,,,
Cyber Security Workshop,Technology,Computer,3,90,Seminar Room,2024-11-01,10:00,"cyber security, hacking",83.0,,,,
Fashion Show,Cultural,Management,1,350,Auditorium,2024-08-25,19:00,"fashion, design",80.0,,,,
Physics Olympiad,Academic,Science,4,70,Seminar Room,2024-12-01,09:00,"physics, olympiad",75.0,,,,
Table Tennis Competition,Sports,Mechanical,2,80,Main Hall,2024-09-10,14:00,"table tennis, sports",86.0,,,,
Career Fair,Professional,Management,all,300,Main Hall,2024-11-05,10:00,"career, jobs",93.0,,,,
Web Development Bootcamp,Technology,Computer,2,120,Seminar Room,2024-07-15,09:00,"web dev, coding",87.0,,,,
Traditional Day,Cultural,Management,all,380,Open Ground,2024-09-01,11:00,"tradition, ethnic",91.0,,,,
Maths Workshop,Academic,Science,1,60,Seminar Room,2024-10-10,10:00,"maths, problem solving",73.0,,,,
Basketball Tournament,Sports,Civil,3,180,Open Ground,2024-11-25,13:00,"basketball, sports",90.0,,,,
Public Speaking Contest,Professional,Science,2,70,Auditorium,2024-08-15,10:30,"public speaking, communication",76.0,,,,
Cloud Computing Seminar,Technology,Computer,4,100,Virtual,2024-12-15,11:00,"cloud, aws",84.0,,,,
Music Concert,Cultural,Management,all,320,Auditorium,2024-09-25,18:00,"music, concert",94.0,,,,
Coding Hackathon,Technology,Computer,3,150,Seminar Room,2024-11-10,09:00,"coding, hackathon",91.0,,,,
Debate Championship,Academic,Science,3,85,Auditorium,2024-10-28,10:00,"debate, argument",78.0,,,,
Chess Tournament,Sports,Mechanical,2,70,Seminar Room,2024-09-05,14:00,"chess, board games",82.0,,,,
Soft Skills Training,Professional,Management,2,90,Seminar Room,2024-07-30,10:00,"soft skills, communication",79.0,,,,
IoT Workshop,Technology,Electrical,4,110,Seminar Room,2024-10-05,09:30,"iot, smart devices",86.0,,,,
Drama Fest,Cultural,Management,all,280,Auditorium,2024-11-28,17:00,"drama, theatre",81.0,,,,
Chemistry Lab Session,Academic,Science,1,50,Seminar Room,2024-09-12,14:00,"chemistry, lab",70.0,,,,
Athletics Meet,Sports,Civil,all,250,Open Ground,2024-12-01,09:00,"athletics, running",92.0,,,,
Interview Prep Session,Professional,Computer,4,80,Virtual,2024-08-05,11:00,"interview, career",85.0,,,,
Machine Learning Summit,Technology,Computer,4,200,Main Hall,2024-09-20,10:00,"ml, deep learning",90.0,,,,
Bollywood Night,Cultural,Management,all,350,Auditorium,2024-10-12,19:00,"bollywood, dance",96.0,,,,
Gate Preparation Seminar,Academic,Electrical,3,120,Seminar Room,2024-07-22,15:00,"gate, exam prep",77.0,,,,
E-Sports Tournament,Sports,Computer,all,150,Virtual,2024-11-08,16:00,"gaming, esports",88.0,,,,
Leadership Workshop,Professional,Management,3,100,Seminar Room,2024-09-08,09:00,"leadership, management",83.0,,,,
Android App Development,Technology,Computer,2,90,Seminar Room,2024-08-30,10:00,"android, mobile dev",85.0,,,,
Diwali Celebration,Cultural,Management,all,380,Open Ground,2024-10-31,17:00,"diwali, festival",98.0,,,,
Quantum Computing Talk,Academic,Science,4,70,Seminar Room,2024-12-20,11:00,"quantum, physics",75.0,,,,
Yoga Session,Sports,Science,all,80,Open Ground,2024-07-10,07:00,"yoga, fitness",70.0,,,,
Startup Pitch Contest,Professional,Management,3,150,Auditorium,2024-11-18,14:00,"startup, entrepreneurship",89.0,,,,
Ethical Hacking Workshop,Technology,Computer,3,100,Seminar Room,2024-10-25,09:00,"hacking, cyber",86.0,,,,
Talent Show,Cultural,Management,all,300,Auditorium,2024-09-07,18:00,"talent, performance",93.0,,,,
Foreign Language Class,Academic,Science,1,60,Seminar Room,2024-08-08,16:00,"language, culture",72.0,,,,
Carrom Tournament,Sports,Mechanical,1,50,Main Hall,2024-10-03,13:00,"carrom, board games",79.0,,,,
Group Discussion Practice,Professional,Management,2,70,Seminar Room,2024-07-05,10:00,"gd, communication",75.0,,,,
Data Analytics Seminar,Technology,Computer,4,120,Virtual,2024-11-22,14:00,"data, analytics",87.0,,,,
Traditional Folk Dance,Cultural,Management,all,200,Open Ground,2024-09-17,17:00,"folk dance, tradition",80.0,,,,
Research Methodology,Academic,Science,3,90,Seminar Room,2024-10-07,10:00,"research, methodology",76.0,,,,
Swimming Competition,Sports,Civil,all,100,Open Ground,2024-08-12,10:00,"swimming, sports",85.0,,,,
Personal Branding,Professional,Management,4,80,Seminar Room,2024-12-08,11:00,"branding, career",81.0,,,,
Game Development Workshop,Technology,Computer,3,110,Seminar Room,2024-09-19,10:00,"game dev, unity",89.0,,,,
Fashion Walk,Cultural,Management,1,250,Main Hall,2024-08-03,19:00,"fashion, ramp",78.0,,,,
Academic Writing Skills,Academic,Science,2,75,Seminar Room,2024-11-02,11:00,"writing, academic",74.0,,,,
Cricket Practice Session,Sports,Electrical,2,100,Open Ground,2024-07-28,16:00,"cricket, practice",70.0,,,,
Stress Management,Professional,Science,all,120,Seminar Room,2024-09-28,15:00,"stress, mental health",77.0,,,,
Augmented Reality Workshop,Technology,Computer,4,90,Virtual,2024-10-18,10:00,"ar, vr",85.0,,,,
Poetry Slam,Cultural,Science,all,100,Main Hall,2024-11-09,17:00,"poetry, literature",76.0,,,,
Advanced Excel Training,Academic,Management,3,70,Seminar Room,2024-08-18,09:30,"excel, data analysis",80.0,,,,
Squash Tournament,Sports,Mechanical,all,60,Open Ground,2024-09-02,14:00,"squash, sports",83.0,,,,
Time Management,Professional,Management,2,80,Seminar Room,2024-10-22,10:00,"time management, productivity",78.0,,,,
Network Security Seminar,Technology,Computer,3,100,Seminar Room,2024-12-02,11:00,"network, security",84.0,,,,
Rangoli Competition,Cultural,Management,all,150,Open Ground,2024-10-29,10:00,"rangoli, art",87.0,,,,
Linear Algebra Refresher,Academic,Science,2,65,Seminar Room,2024-09-09,14:00,"algebra, maths",71.0,,,,
