event_title,category,department,target_year,capacity,location,month,day_of_week,hour,event_tags,title_length,title_word_count,num_tags,is_weekend,time_of_day,is_workshop,dept_popularity,feature_version,success_rate
Ai Workshop,Technology,Computer,3,100,Seminar Room,9,6,10,"ai, ml",11,2,2,1,morning,1,0.1918918918918919,v1.1,85
Freshers' Night,Cultural,Management,1,300,Auditorium,8,1,18,"freshers, welcome",15,2,2,0,evening,0,0.34684684684684686,v1.1,92
Research Paper Writing,Academic,Science,4,80,Seminar Room,10,1,11,"research, writing",22,3,2,0,morning,0,0.15675675675675677,v1.1,78
Inter-Department Football,Sports,Civil,2,150,Open Ground,11,6,14,"football, sports",25,2,2,1,afternoon,0,0.1045045045045045,v1.1,88
Resume Building Workshop,Professional,Management,3,75,Seminar Room,7,3,9,"resume, career",24,3,2,0,morning,1,0.34684684684684686,v1.1,80
Robotics Competition,Technology,Mechanical,4,120,Main Hall,9,6,13,"robotics, engineering",20,2,2,1,afternoon,0,0.08468468468468468,v1.1,90
Annual Debate Competition,Academic,Science,2,90,Auditorium,10,1,10,"debate, public speaking",25,3,2,0,morning,0,0.15675675675675677,v1.1,75
Cricket Tournament,Sports,Electrical,3,200,Open Ground,12,3,9,"cricket, sports",18,2,2,0,morning,0,0.0945945945945946,v1.1,95
Industry Expert Talk,Professional,Computer,4,180,Main Hall,8,5,15,"industry, networking",20,3,2,1,afternoon,0,0.1918918918918919,v1.1,82
Photography Exhibition,Cultural,Management,1,250,Auditorium,11,2,16,"photography, art",22,2,2,0,afternoon,0,0.34684684684684686,v1.1,70
Data Science Bootcamp,Technology,Computer,3,150,Seminar Room,9,3,9,"data science, analytics",21,3,2,0,morning,0,0.1918918918918919,v1.1,88
Literary Fest,Cultural,Science,2,100,Main Hall,10,4,10,"literature, books",13,2,2,0,morning,0,0.15675675675675677,v1.1,72
Project Presentation Day,Academic,Mechanical,4,200,Auditorium,12,1,10,"projects, innovation",24,3,2,0,morning,0,0.08468468468468468,v1.1,85
Badminton Championship,Sports,Civil,1,100,Open Ground,9,0,13,"badminton, sports",22,2,2,0,afternoon,0,0.1045045045045045,v1.1,89
Interview Skills Workshop,Professional,Electrical,3,60,Seminar Room,8,3,10,"interview, job",25,3,2,0,morning,1,0.0945945945945946,v1.1,77
Blockchain Seminar,Technology,Computer,2,110,Seminar Room,10,1,14,"blockchain, crypto",18,2,2,0,afternoon,0,0.1918918918918919,v1.1,80
Cultural Extravaganza,Cultural,Management,1,400,Auditorium,11,4,18,"culture, music",21,2,2,0,evening,0,0.34684684684684686,v1.1,99
Guest Lecture Series,Academic,Science,3,130,Main Hall,9,2,11,"lecture, knowledge",20,3,2,0,morning,0,0.15675675675675677,v1.1,79
Volleyball Tournament,Sports,Electrical,2,120,Open Ground,7,5,15,"volleyball, sports",21,2,2,1,afternoon,0,0.0945945945945946,v1.1,87
Entrepreneurship Summit,Professional,Management,4,200,Auditorium,10,6,9,"entrepreneurship, startup",23,2,2,1,morning,0,0.34684684684684686,v1.1,90
Cyber Security Workshop,Technology,Computer,3,90,Seminar Room,11,4,10,"cyber security, hacking",23,3,2,0,morning,1,0.1918918918918919,v1.1,83
Fashion Show,Cultural,Management,1,350,Auditorium,8,6,19,"fashion, design",12,2,2,1,evening,0,0.34684684684684686,v1.1,80
Physics Olympiad,Academic,Science,4,70,Seminar Room,12,6,9,"physics, olympiad",16,2,2,1,morning,0,0.15675675675675677,v1.1,75
Table Tennis Competition,Sports,Mechanical,2,80,Main Hall,9,1,14,"table tennis, sports",24,3,2,0,afternoon,0,0.08468468468468468,v1.1,86
Career Fair,Professional,Management,1,300,Main Hall,11,1,10,"career, jobs",11,2,2,0,morning,0,0.34684684684684686,v1.1,93
Web Development Bootcamp,Technology,Computer,2,120,Seminar Room,7,0,9,"web dev, coding",24,3,2,0,morning,0,0.1918918918918919,v1.1,87
Traditional Day,Cultural,Management,1,380,Open Ground,9,6,11,"tradition, ethnic",15,2,2,1,morning,0,0.34684684684684686,v1.1,91
Maths Workshop,Academic,Science,1,60,Seminar Room,10,3,10,"maths, problem solving",14,2,2,0,morning,1,0.15675675675675677,v1.1,73
Basketball Tournament,Sports,Civil,3,180,Open Ground,11,0,13,"basketball, sports",21,2,2,0,afternoon,0,0.1045045045045045,v1.1,90
Public Speaking Contest,Professional,Science,2,70,Auditorium,8,3,10,"public speaking, communication",23,3,2,0,morning,0,0.15675675675675677,v1.1,76
Cloud Computing Seminar,Technology,Computer,4,100,Virtual,12,6,11,"cloud, aws",23,3,2,1,morning,0,0.1918918918918919,v1.1,84
Music Concert,Cultural,Management,1,320,Auditorium,9,2,18,"music, concert",13,2,2,0,evening,0,0.34684684684684686,v1.1,94
Coding Hackathon,Technology,Computer,3,150,Seminar Room,11,6,9,"coding, hackathon",16,2,2,1,morning,0,0.1918918918918919,v1.1,91
Debate Championship,Academic,Science,3,85,Auditorium,10,0,10,"debate, argument",19,2,2,0,morning,0,0.15675675675675677,v1.1,78
Chess Tournament,Sports,Mechanical,2,70,Seminar Room,9,3,14,"chess, board games",16,2,2,0,afternoon,0,0.08468468468468468,v1.1,82
Soft Skills Training,Professional,Management,2,90,Seminar Room,7,1,10,"soft skills, communication",20,3,2,0,morning,0,0.34684684684684686,v1.1,79
Iot Workshop,Technology,Electrical,4,110,Seminar Room,10,5,9,"iot, smart devices",12,2,2,1,morning,1,0.0945945945945946,v1.1,86
Drama Fest,Cultural,Management,1,280,Auditorium,11,3,17,"drama, theatre",10,2,2,0,evening,0,0.34684684684684686,v1.1,81
